pokedexNumber,pokemonName,cardName,setExtra,set,cardNumber,language,note
534,Meistagrif,Meistagrif,,BLK,049,,
535,Schallquap,Schallquap,,OBF,050,,
536,Mebrana,Mebrana,,OBF,051,,
537,Branawarz,Branawarz,,OBF,052,,
538,Jiutesto,Jiutesto,,BRS,080,,
539,Karadonis,Karadonis,,BRS,081,,
540,Strawickl,Strawickl,,WHT,001,,
541,Folikon,Folikon,,UNM,008,,
542,Matrifol,Matrifol,,FST,011,,
543,Toxiped,Toxiped,,TWM,115,,
544,Rollum,Rollum,,TWM,116,,
545,Cerapendra,Cerapendra,,TWM,117,,
546,Waumboll,Waumboll,,PAF,034,,
547,Elfun,Elfun VSTAR,,BRS,065,,
548,Lilminip,Lilminip,,JTG,006,,
549,Dressella,Dressella,,JTG,007,,
550,Barschuft,Hisui-Barschuft,PPS3,ASR,043,,
551,Ganovil,Ganovil,,SVI,115,,Reverse Holo
552,Rokkaiman,Rokkaiman,,SIT,112,,
553,Rabigator,Rabigator,,PFL,066,,Reverse Holo
554,Flampion,Flampion,,OBF,034,,Reverse Holo
555,Flampivian,Ns Flampivian,,JTG,027,,
556,Maracamba,Maracamba,,JTG,008,,
557,Lithomith,Lithomith,,DRI,011,,
558,Crustle,Castellith,,DRI,186,Englisch,
559,Zurrokex,Zurrokex,,PAF,060,,Reverse Holo
560,Irokex,Marys Irokex,,DRI,133,,Reverse Holo
561,Symvolara,Symvolara,,SSP,081,,
562,Makabaja,Makabaja,,SSP,082,,
563,Echnatoll,Echnatoll,,SSP,083,,Reverse Holo
564,Galapaflos,Galapaflos,,SCR,037,,Reverse Holo
565,Karippas,Karippas,,SCR,038,,
566,Flapteryx,Flapteryx,,SIT,146,,
567,Aeropteryx,Aeropteryx,PPS4,SIT,147,,
568,Unratütox,Unratütox,,PAR,116,,
569,Deponitox,Garbodor VMAX,,EVS,101,,
570,Zorua,Ns Zorua,,SVP,189,,
571,Zoroark,Ns Zoroark-ex,,JTG,175,Englisch,
572,Picochilla,Picochilla,,TEF,136,,
573,Chillabell,Chillabell,,TEF,137,,
574,Mollimorba,Mollimorba,,WHT,124,,
575,Hypnomorba,Hypnomorba,,PAL,091,,
576,Morbitesse,Morbitesse,,SVP,221,,
577,Monozyto,Monozyto,,TEF,070,,
578,Mitodos,Mitodos,,SIT,077,,
579,Zytomega,Zytomega,,SVP,212,,
580,Piccolente,Piccolente,,TWM,139,,
581,Swaroness,Swaroness,,TWM,140,,
582,Gealtini,Gealtini,,PAR,043,,
583,Gelatroppo,Gelatroppo,,WHT,028,,Meisterball Reverse Holo
584,Gelatwino,Gelatwino,,PAR,045,,
585,Sesokitz,Sesokitz,,TEF,165,,
586,Kronjuwild,Kronjuwild,,TEF,017,,Reverse Holo
587,Emolga,Emolga,,SIT,054,,
588,Laukaps,Laukaps,,CIN,007,,Reverse Holo
589,Cavalanzas,Cavalanzas,,BRS,101,,Reverse Holo
590,Tarnpignon,Tarnpignon,,SIT,011,,
591,Hutsassa,Hutsassa-ex,,JTG,011,,
592,Quabbel,Quabbel,,WHT,044,,Meisterball Reverse Holo
593,Apoquallyp,Apoquallyp-ex,,WHT,160,,
594,Mamolida,Mamolida,,SVI,048,,
595,Wattzapf,Wattzapf,PPS7,SCR,050,,Galaxy Holo
596,Voltula,Voltula-ex,PPS6,SCR,051,,
597,Kastadur,Kastadur,,SIT,121,,
598,Tentantel,Tentantel,,PAR,128,,
599,Klikk,Klikk,,SIT,123,,
600,Kliklak,Kliklak,,SIT,124,,
601,Klikdiklak,Klikdiklak,,SIT,125,,
602,Zapplardin,Zapplardin,,OBF,067,,
603,Zapplalek,Zapplalek,PPS8,BLK,031,,Cosmo Foil
604,Zapplarang,Zapplarang,,OBF,069,,
605,Pygraulon,Pygraulon,,TEF,073,,
606,Megalon,Megalon,,SIT,080,,
607,Lichtel,Lichtel,,OBF,036,,
608,Laternecto,Laternecto,,TWM,037,,
609,Skelabra,Skelabra,,TWM,038,,
610,Milza,Axew,,SFA,044,,
611,Sharfax,Fraxure,,SFA,045,,Reverse Holo
612,Maxax,Maxax,,SFA,046,,Reverse Holo
613,Petznief,Petznief,,OBF,053,,
614,Siberio,Siberio,,OBF,054,,
615,Frigometri,Frigometri,,OBF,055,,
616,Schnuthelm,Schnuthelm,,FST,013,,
617,Hydragil,Hydragil,,JTG,013,,Reverse Holo
618,Flunschlik,Flunschlik,,SSP,202,,
619,Lin-Fu,Lin-Fu,,PAR,096,,
620,Wie-Shu,Wie-Shu,,PAR,097,,Reverse Holo
621,Shardrago,Shardrago,,SIT,TG09,,
622,Golbit,Golbit,,TEF,087,,Reverse Holo
623,Golgantes,Golgantes,,BRS,083,,
624,Gladiantri,Gladiantri,,OBF,148,,Reverse Holo
625,Caesurio,Caesurio,,SVI,133,,
626,Bisofank,Bisofank,PPS6,SCR,119,,Cosmo Holo
627,Geronimatz,Geronimatz,,SIT,148,,
628,Washakwil,Washakwil,,SSP,153,,
629,Skallyk,Skallyk,,WHT,063,,
630,Grypheldis,Grypheldis,,WHT,064,,
631,Furnifraß,Furnifraß,,TEF,031,,
632,Fermicula,Fermicula-ex,,SSP,215,,
633,Kapuno,Kapuno,,PAL,138,,
634,Duodino,Duodino,,PAL,139,,
635,Trikephalo,Trikephalo-ex,,SSP,119,,
636,Ignivor,Ignivor,,OBF,040,,
637,Ramoth,Ramoth,,OBF,041,,
638,Kobalium,Kobalium,,SIT,126,,
639,Terrakium,Terrakium,,SIT,097,,
640,Viridium,Viridium,,SIT,014,,
641,Boreos,Boreos,,SVP,210,,
642,Voltolos,Voltolos,,OBF,070,,
643,Reshiram,Reshiram V,,SIT,024,,
644,Zekrom,Pikachu & Zekrom GX,,TEU,033,,
645,Demeteros,Demeteros,,SSP,110,,
646,Kyurem,Kyurem VMAX,,LOR,049,,
647,Keldeo,Keldeo,,SCR,GG07,,
648,Meloetta,Meloetta-ex,,BLK,044,,
649,Genesect,Genesect,PPS6,SFA,040,,Galaxy Holo
650,Igamaro,,,,,,
651,Igastarnish,,,,,,
652,Brigaron,Brigaron V,,SIT,171,,
653,Fynx,Fynx,,SIT,025,,
654,Rutena,Rutena,,SIT,026,,
655,Fennexis,Fennexis V,,LOR,173,,
656,Froxy,Froxy,,OBF,056,,
657,Amphizel,Amphizel,,OBF,057,,
658,Quajutsu,Quajutsu-ex,PPS7,TWM,106,,
659,Scoppel,Scoppel,,OBF,175,,
660,Grebbit,Grebbit,,OBF,113,,Reverse Holo
661,Dartiri,Dartiri,,PAL,163,,
662,Dartignis,Dartignis,,SIT,028,,
663,Fiaro,Fiaro,,SCR,123,,
664,Purmel,Purmel,,SVI,008,,
665,Puponcho,Puponcho,,SVI,009,,
666,Vivillon,Vivillon,,SVI,010,,
667,Leufeo,Leufeo,,PAL,031,,
668,Pyroleo,Pyroleo,,PAL,032,,
669,Flabébé,Flabébé,,SVI,091,,Reverse Holo
670,Floette,Floette,,SVI,092,,
671,Florges,Florges,,SVI,093,,
672,Mähikel,Mähikel,,SVI,011,,
673,Chevrumm,Chevrumm,,SVI,012,,Reverse Holo
674,Pam-Pam,Pam-Pam,,SCR,085,,Reverse Holo
675,Pandagro,Pandagro,,SCR,093,,
676,Coiffwaff,Coiffwaff,,SFA,051,,Reverse Holo
677,Psiau,Psiau,,SIT,081,,
678,Psiaugon,Psiaugon,,SSP,085,,
679,Gramokles,Honedge,,PAR,131,Englisch,
680,Duokles,Duokles,,PAR,132,,
681,Durengard,Durengard,,PAR,210,,
682,Parfi,Parfi,,PRE, ,,Pokéball Reverse Holo
683,Parfinesse,Parfinesse,,PRE,039,,Pokéball Reverse Holo
684,Flauschling,Flauschling,,SIT,083,,
685,Sabbaione,Sabbaione,,TWM,090,,
686,Iscalar,Inkay,,SFA,033,,
687,Calamanero,Calamanero,,SIT,TG06,,
688,Bithora,Bithora,,FCO,022,,Reverse Holo
689,Thanathora,Thanathora,,LOR,107,,
690,Algitt,Algitt,,CRZ,081,,
691,Tandrak,Tandrak,,CRZ,082,,
692,Scampisto,Scampisto,,SVI,049,,Reverse Holo
693,Wummer,Wummer,,SVI,050,,Reverse Holo
694,Eguana,Eguana,,FST,098,,
695,Elezard,Elezard,,TWM,177,,
696,Balgoras,,,,,,
697,Monargoras,,,,,,
698,Amarino,,,,,,
699,Amagarga,,,,,,
700,Feelinara,Feelinara-ex,,SSP,086,,
701,Resladero,Resladero,,SVI,118,,
702,Dedenne,Dedenne,,BRS,TG07,,
703,Rocara,Rocara,,LOR,108,,
704,Viscora,Viscora,,LOR,132,,
705,Viscargot,Viscargot,,FST,196,,
706,Viscogon,Hisui-Viscogon VSTAR,PPS4,LOR,136,,
707,Clavion,Clavion,PPS4,SVI,096,,
708,Paragoni,Paragoni,,OBF,011,,
709,Trombork,대로트 V,,S7R,068,Koreanisch,
710,Irrbis,Pumpkaboo,,PAR,077,,
711,Pumpdjinn,Pumpdjinn,,PAR,078,,
712,Arktip,Arktip,,EVS,044,,Reverse Holo
713,Arktilas,Hisuian Avalugg,,ASR,048,,
714,eF-eM,eF-eM,,PAF,068,,
715,UHaFnir,UHaFnir-ex,PPS4,PAL,153,,
716,Xerneas,ゼルネアス,,S8A,012,Japanisch,Reverse Holo
717,Yveltal,Yveltal,,MEG,088,,Reverse Holo
718,Zygarde,Zygarde,,SIT,134,,
719,Diancie,Diancie,,CRZ,GG13,,
720,Hoopa,Hoopa-ex,,PAR,098,,
721,Volcanion,Volcanion-ex,,JTG,171,Englisch,
722,Bauz,Bauz,,OBF,013,,
723,Arboretoss,Arboretoss,,SFA,004,,Reverse Holo
724,Silvarro,Decidueye,,SFA,005,Englisch,Reverse Holo
725,Flamiau,Flamiau,,TEF,167,,
726,Miezunder,Miezunder,,SIT,031,,
727,Fuegro,Fuegro-ex,,TEF,034,,
728,Robball,Robball,,MCD25,023,,
729,Marikeck,Marikeck,,SUM,040,,
730,Primarene,,,,,,
731,Peppeck,,,,,,
732,Trompeck,Trompeck,,SUM,107,,
733,Tukanon,,,,,,
734,Mangunior,Mangunior,,OBF,176,,
735,Manguspektor,Manguspektor,,OBF,177,,Reverse Holo
736,Mabula,Mabula,,SCR,009,,
737,Akkup,Akkup,,TEF,005,,
738,Donarion,Donarion,,TEF,056,,
739,Krabbox,Krabbox,,OBF,114,,
740,Krawell,Krawell,,SCR,042,,
741,Choreogel,オドリドリ,,S12A,176,Japanisch(?),
742,Wommel,Wommel,,TEF,172,,
743,Bandelby,Lillys Bandelby,PPS_,JTG,067,,
744,Wuffels,Wuffels,,SIT,TG07,,
745,Wolwerock,Wolwerock,,JTG,166,,
746,Lusardin,Lusardin,,DAA,050,,Reverse Holo
747,Garstella,Garstella,,SIT,114,,
748,Aggrostella,Toxapex,,SUM,063,Englisch,Reverse Holo
749,Pampuli,Pampuli,,TEF,091,,Reverse Holo
750,Pampross,Pampross,,TEF,092,,
751,Araqua,Araqua,,SIT,047,,
752,Aranestro,Aranestro,,SIT,048,,
753,Imantis,Imantis,,DRI,013,,Reverse Holo
754,Mantidea,Mantidea,,UNM,016,,
755,Bubungus,Bubungus,,SSP,008,,
756,Lamellux,Lamellux,,SSP,194,,
757,Molunk,Molunk,,OBF,139,,Reverse Holo
758,Amfira,Amfira,,OBF,140,,
759,Velursi,Velursi,,SFA,052,,Reverse Holo
760,Kosturso,Bewear,,SFA,079,Englisch,
761,Frubberl,Frubberl,,OBF,016,,
762,Frubaila,Frubaila,,PAR,009,,
763,Fruyal,Strahlendes Fruyal,,SIT,016,,
764,Curelei,Curelei,,SCR,063,,
765,Kommandutan,Kommandutan-V,,ASR,179,,
766,Quartermak,Quartermak,,SIT,TG08,,
767,Reißlaus,Reißlaus,,PGO,025,,Reverse Holo
768,Tectass,Tectass-ex,,PAR,050,,
769,Sankabuh,Sankabuh,,SIT,099,,
770,Colossand,Palossand-ex,,SSP,221,Englisch,
771,Gufa,Gufa,,FST,077,,
772,Typ: Null,Typ: Null,,CIN,089,,Reverse Holo
773,Amigento,Amigento GX,,CIN,108,,
774,Meteno,Meteno,,PAR,201,,
775,Koalelu,Koalelu,,LOR,149,,
776,Tortunator,Tortunator,,TEF,035,,
777,Togedemaru,Togedemaru,,OBF,151,,
778,Mimigma,Mimikyu,,SVP,075,,
779,Knirfish,Knirfish,,SVI,051,,
780,Sen-Long,Sen-Long,,TEF,138,,
781,Moruda,Moruda VMAX,,SHF,010,,
782,Miniras,Miniras,,CIN,075,,
783,Mediras,Mediras,,,,,
784,Grandiras,Grandiras GX,,GRI,141,,
785,Kapu-Riki,Kapu-Riki GX,,GRI,047,,
786,Kapu-Fala,Kapu-Fala,,SSP,092,,
787,Kapu-Turo,Tapu Bulu,,SFA,065,,
788,Kapu-Kime,Kapu-Kime,,CRE,040,,Reverse Holo
789,Cosmog,Cosmog,,CEL,013,,
790,Cosmovum,Cosmovum,,CEL,014,,
791,Solgaleo,ソルガレオ,,s8a,016,,
792,Lunala,Lunala,,CEL,015,,
793,Anego,,,,,,
794,Masskito,Masskito GX,,CIN,115,,
795,Schabelle,費洛美螂&爆肌蚊 GX,,CSM2bC,003,Chinesisch,
796,Voltriant,Voltriant,,HIF,SV14,,
797,Kaguron,Kaguron,,HIF,SV32,,
798,Katagami,,,,,,
799,Schlingking,四颚针龙&恶食大王 GX,,CSM25C,037,Chinesisch,
800,Necrozma,Necrozma Asas Alvorada GX,,UPR,063,Spanisch,
801,Magearna,Magearna V,,SIT,128,,
802,Masrshadow,Marshadow GX,,BUS,137,,
803,Venicro,,,,,,
804,Agoyon,,,,,,
805,Muramura,,,,,,
806,Kopplosio,Kopplosio GX,,LOT,052,,
807,Zeraora,Zeraora,,SIT,056,,
808,Meltan,Meltan,,OBF,152,,
809,Melmetal,Melmetal,,TEF,117,,
810,Chimpep,Chimpep,,TWM,014,,
811,Chimstix,Chimstix,,TWM,015,,
812,Gortrom,Rillaboom VMAX,,FST,023,,
813,Hopplo,Hopplo,,MEG,026,,
814,Kickerlo,Raboot,,SCR,027,Englisch,
815,Liberlo,Cinderace V,,FST,044,Englisch,
816,Memmeon,Memmeon,,CRE,041,,
817,Phlegleon,Phlegleon,,CRE,042,,
818,Intelleon,Intelleon,,CRE,043,,
819,Raffel,Raffel,,SVI,151,,
820,Schlaraffel,Schlaraffel-ex,,OBF,179,,
821,Meikro,Meikro,,PAL,164,,
822,Kranoviz,Kranoviz,,PAL,165,,
823,Krarmor,Krarmor VMAX,,SIT,TG19,,
824,Sensect,Team Rockets Sensect,,DRI,015,,
825,Keradar,Keradar,,PAR,011,,Holo
826,Maritellit,ロケット団のイオルブ,,SV10,104,Japanisch,
827,Kleptifux,Kleptifux,,MEG,089,,Holo
828,Gaunux,Gaunux,,PAR,120,,
829,Cottini,Cottini,,SCR,010,,
830,Cottomi,Cottomi,,EVS,016,,
831,Wolly,Hops Wolly,,JTG,170,,
832,Zwollock,Hops Zwollock,PPS8,JTG,136,,Cosmo Holo
833,Kamehaps,Kamehaps,,SCR,043,,Holo
834,Kamalm,Kamalm,,SCR,044,,Holo
835,Voldi,Voldi,,PFL,099,,
836,Bellektro,Bellektro,,TEF,059,,Holo
837,Klonkett,Klonkett,,TEF,093,,
838,Wagong,Wagong,,SHF,SV068,,Shiny Holo
839,Montecarbo,Montecarbo,,TEF,095,,Holo
840,Knapfel,Knapfel,,SCR,012,,
841,Drapfel,Drapfel,,SSP,139,,Holo
842,Schlapfel,Schlapfel,,SSP,140,,Holo
843,Salanga,Salanga,,SVI,119,,
844,Sanaconda,Sanaconda,,SVI,120,,
845,Urgl,Urgl,PPS_,LOR,050,,Holo
846,Pikuda,Pikuda,,RCL,052,,
847,Barrakiefa,Barrakiefa,,VIV,042,,
848,Toxel,Toxel,,OBF,071,,Holo
849,Riffex,Riffex,,PAF,141,,Shiny Holo
850,Thermopod,Sizzlipede,,SSP,027,,
851,Infernopod,Infernopod VMAX,,LOR,TG15,,
852,Klopptopus,Klopptopus,,FST,152,,
853,Kaocto,Kaocto,,PAF,052,,
854,Fatalitee,Fatalitee,,OBF,097,,
855,Mortipot,Mortipot,,OBF,098,,Holo
856,Brimova,Brimova,,M24,005,,
857,Brimano,Brimano,,RCL,084,,
858,Silembrim,Hatterene,,CRE,073,,Halloween Holo
859,Bähmon,Bähmon,,SCR,094,,Holo
860,Pelzebub,Pelzebub,,SCR,095,,Holo
861,Olangaar,Marys Olangaar ex,,DRI,136,,
862,Barrikadax,Galar-Barrikadax,,SSH,119,,
863,Mauzinger,Galarian Perrserker V,,LOR,129,Englisch,
864,Gorgasonn,Galar-Gorgasonn,,FST,118,,
865,Lauchzelot,ガラル ネギガナイト,,S4A,091,Japanisch,
866,Pantifrost,Galar-Pantifrost,,BST,035,,
867,Oghnatoll,Galar-Oghnatoll,,RCL,102,,
868,Hokumil,Hokumil,,SCR,064,,
869,Pokusan,Pokusan ex,,JTG,075,,
870,Legios,Legios,,ASR,TG07,,
871,Britzigel,Britzigel,,PAL,073,,
872,Snomnom,Snomnom,,TEF,045,,
873,Mottineva,Mottineva,,TEF,046,,Holo
874,Humanolith,Humanolith,,SVI,121,,
875,Kubuin,Kubuin,,PAL,048,,
876,Servol,Servol,,SVP,154,,
877,Morpeko,Morpeko,PPS_,PAR,121,,Cosmo Holo
878,Cufant,Cufant,,SFA,076,,
879,Patinaraja,Patinaraja ex,,PAL,245,,
880,Lectragon,雷鸟龙,,CS2BC,120,Chinesisch,Shiny Holo
881,Lecryodon,Lecryodon,,DAA,066,,Holo
882,Pescragon,Pescragon V,,BRS,114,,
883,Pescryodon,Arctovish V,,EVS,048,,
884,Duraludon,Duraludon VMAX,,SIT,TG30,,
885,Grolldra,Grolldra,,TWM,128,,
886,Phandra,Phandra,PPS7,TWM,129,,
887,Katapuldra,Dragapult ex,,TWM,200,,
888,Zacian,Hop's Zacian ex,,JTG,176,Englisch,
889,Zamazenta,Zamazenta V,,CEL,018,Englisch,
890,Endynalos,ムゲンダイナ VMAX,,S4A,125,Japanisch,
891,Dakuma,Dakuma,,CRE,093,,
892,Wulaosu,Rapid Strike Urshifu VMAX,,BRS,TG21,Englisch,
893,Zarude,Zarude,,FST,027,Englisch,
894,Regieleki,Regieleki V,PPS_,SIT,057,,
895,Regidrago,Regidrago V,PPS_,SIT,135,,
896,Polaross,Polaross,,LOR,051,,
897,Phantoross,Spectrier,,LOR,081,Englisch,Halloween Holo
898,Coronospa,Rappenreiter Coronospa VMAX,,CRE,075,,
899,Damythir,Damythir V,,ASR,134,,
900,Axantor,Kleavor V,,SP,248,,
901,Ursaluna,Ursaluna V,,SIT,102,,
902,Salmagnis,Hisuian Basculegion,,SP,205,,
903,Snieboss,Strahlendes Snieboss,,SIT,123,,
904,Myriador,Hisui-Myriador,,ASR,091,,
905,Cupidos,Cupidos V,,SIT,082,,
906,Felori,Felori,,SVP,191,,
907,Feliospa,Feliospa,,PAL,014,,
908,Maskagato,Maskagato ex,,PAL,231,,
909,Krokel,Krokel,,SVP,192,,
910,Lokroko,Lokroko,,SVI,037,,
911,Skelokrok,Skelokrok ex,,PAL,037,,
912,Kwaks,Kwaks,,PAL,206,,
913,Fuentente,Fuentente,,PAL,051,,
914,Bailonda,Bailonda ex,,PAL,260,,
915,Ferkuli,Ferkuli,,OBF,209,,
916,Fragrunz,Oinkologne ex,,SVI,234,,
917,Tarundel,Tarundel,,PAL,016,,
918,Spinsidias,Spinsidias ex,,SVI,243,,
919,Micrick,Micrick,,PAL,019,,
920,Lextremo,Lextremo,,PFL,010,,
921,Pamo,Pamo,,PAF,226,,
922,Pamamo,Pamamo,,PFL,033,,
923,Pamomamo,Pamomamo,,SVI,076,,
924,Zwieps,Zwieps,,PAR,154,,
925,Famieps,Famieps,,SVI,161,,
926,Hefel,Hefel,,SVP,069,,Shiny Holo
927,Backel,Backel ex,,SCR,067,,
928,Olini,Olini,,SVI,021,,Holo
929,Olivinio,Olivinio,,SVI,200,,
930,Olithena,Olithena,,SVI,023,,
931,Krawalloro,Krawalloro ex,,PAL,247,,
932,Geosali,Geosali,,PAL,121,,
933,Sedisal,Sedisal,,PAR,103,,
934,Saltigant,Saltigant ex,,SCR,089,,
935,Knarbon,Knarbon,,MEP,022,,
936,Crimanzo,Crimanzo,,PAF,015,,
937,Azugladis,Azugladis ex,PPS_,SSP,036,,
938,Blipp,Blipp,,OBF,075,,
939,Wampitz,Enigmaras Wampitz ex,PPS_,JTG,053,,
940,Voltrel,Voltrel,,TWM,178,,
941,Voltrean,Enigmaras Voltrean,PPS_,JTG,055,,
942,Mobtiff,Peppers Mobtiff,,DRI,138,,
943,Mastifioso,Mastifioso,,SVI,218,,
944,Sproxi,Sproxi,,PAL,144,,
945,Affiti,Affiti,,PAL,146,,
946,Weherba,Weherba,,PAL,198,,
947,Horrerba,Horrerba,PPS_,TEF,021,,
948,Tentagra,Tentagra,,SVI,025,,
949,Tenterra,Tenterra ex,,PAF,005,,
950,Klibbe,Klibbe,,PAR,105,,Holo
951,Chilingel,Chilingel,,SVI,027,,
952,Halupenjo,Halupenjo ex,,TEF,022,,
953,Relluk,Relluk,,PAL,025,,
954,Skarabaks,Skarabaks,PPS_,TEF,024,,Cosmo Holo
955,Flattutu,Flattutu,,PAR,079,,
956,Psiopatra,Espathra ex,,PAF,214,Englisch,
957,Forgita,Forgita,,SVP,025,,
958,Tafforgita,Tafforgita,,PAL,217,,
959,Tinkaton,Tinkaton,,PAR,085,,
960,Wiglett,Wiglett,,PAR,051,,
961,Schligdri,Schligdri,,PAF,224,,
962,Adebom,Adebom-ex,,PAR,156,,
963,Normifin,Normifin,,OBF,060,,
964,Delfinator,Delfinator ex,,TWM,061,,
965,Knattox,Knattox,,SVP,026,,
966,Knattatox,Knattatox ex,,OBF,224,,
967,Mopex,Mopex,,PAR,215,,
968,Schlurm,Schlurm ex,,SCR,162,,
969,Lumispross,Lumispross,,PAL,124,,
970,Glimmora,Glimmora ex,,OBF,213,,
971,Gruff,Gruff,,SVP,070,,
972,Friedwuff,Friedwuff,,SVP,042,,
973,Flaminkno,Flaminkno,,OBF,185,,Holo
974,Flaniwal,Flaniwal,,DRI,064,,
975,Kolowal,Kolowal,,SVP,063,,
976,Agiluza,Agiluza ex,,JTG,043,,
977,Heerashai,Heerashai,,SVP,012,,
978,Nigiragi,Nigiragi ex,,SSP,226,,
979,Epitaff,Epitaff,,SVI,109,,
980,Suelord,Paldea Suelord ex,,PAL,130,,
981,Farigiraf,Farigiraf ex,,TEF,108,,
982,Dummimisel,Dummimisel ex,,JTG,178,,
983,Gladimperio,Gladimperio,,SVP,130,,
984,Riesenzahn,Riesenzahn ex,,SVI,230,,
985,Brüllschweif,Brüllschweif,,SVP,065,,
986,Wutpilz,Wutpilz,PPS_,PAR,123,,
987,Flatterhaar,Flatterhaar,,SVP,097,,
988,Kriechflügel,Kriechflügel,,PAR,107,,
989,Sandfell,Sandfell ex,PPS_,PAR,108,,
990,Eisenrad,Eisenrad ex,,SVI,248,,
991,Eisenbündel,Eisenbündel,,SVP,066,,
992,Eisenhand,Eisenhand ex,,PAR,223,,
993,Eisenhals,Eisenhals,,TEF,139,,
994,Eisenfalter,Eisenfalter,,PAR,028,,
995,Eisendorn,Eisendorn ex,,TWM,196,,
996,Frospino,Frospino,,PAF,017,,
997,Cryospino,Cryospino,,SVP,064,,
998,Espinodon,Espinodon,,PAL,060,,
999,Gierspenst,Gierspenst,,PAR,198,,
1000,Monetigo,Monetigo ex,,PAR,231,,
1001,Chongjian,Chongjian ex,,PAL,232,,
1002,Baojian,Baojian ex,,PAF,242,,
1003,Dinglu,Dinglu ex,,PAL,127,,
1004,Yuyu,Yuyu,,SVP,057,,
1005,Donnersichel,Donnersichel,PPS_,TEF,109,,
1006,Eisenkrieger,Eisenkrieger ex,,PAR,225,,
1007,Koraidon,Koraidon ex,,SVI,254,,
1008,Miraidon,Miraidon ex,,SVI,227,,
1009,Windewoge,Windewoge ex,,TEF,050,,
1010,Eisenblatt,Eisenblatt ex,,TEF,025,,
1011,Sirapfel,Sirapfel,,TWM,018,,
1012,Mortcha,Mortcha,,TWM,171,,
1013,Fatalitcha,Fatalitcha ex,,TWM,189,,
1014,Boninu,Boninu,,SFA,074,,
1015,Benesaru,Benesaru,PPS_,TWM,095,,
1016,Beatori,Fezandipiti ex,,SFA,038,Englisch,
1017,Ogerpon,Teal Mask Ogerpon ex,,TWM,025,,
1018,Briduradon,Briduradon ex,,SSP,224,,
1019,Hydrapfel,Hydrapfel,,DRI,188,,
1020,Keilflamme,Gouging Fire ex,,TEF,188,Englisch,
1021,Furienblitz,Furienblitz ex,,TEF,196,,
1022,Eisenfels,Eisenfels ex,,TEF,192,,
1023,Eisenhaupt,Eisenhaupt ex,,TEF,081,,
1024,Terapagos,Terapagos ex,PPS_,SCR,128,,
1025,Infamomo,Pecharunt,,SVP,129,Englisch,
